area,place_id,participant_id,room,prop_on
EastBoston,MF,11,NA,0.34048640915593703
EastBoston,MF,2,base,0.19662363455809334
EastBoston,MF,3,NA,0.375
EastBoston,MF,5,NA,0.410828025477707
EastBoston,MF,6,kitchen,0.43201754385964913
EastBoston,MF,6,play,0.45614035087719296
EastBoston,MF,7,NA,0.3854942871336314
EastBoston,MF,8,NA,0.383
Roxbury,CM,207,NA,0.7186379928315412
Roxbury,CM,210,NA,0.9910313901345291
Roxbury,CM,503,NA,0.9399372478709099
Roxbury,CM,511,NA,0.9968637992831542
Roxbury,IB,105,living,1
Roxbury,IB,206,living,0.44129720853858784
Roxbury,IB,303,living,0.8810633946830266
Roxbury,IB,405,bedroom,0.9063063063063063
Roxbury,IB,502,living,1
Roxbury,IB,510,living,0.018298714144411473
Roxbury,IB,513,living,0.6821166473541908
Roxbury,IB,515,living,0.6299883765982177
Roxbury,IB,606,bedroom,0.9025710419485792
Roxbury,IB,613,living,0.544611819235226
EastBoston,MF,all,all,0.36894508582249097
Roxbury,CM,all,all,0.9115966386554621
Roxbury,IB,all,all,0.8123021153581426
EastBoston,all,all,all,0.36894508582249097
Roxbury,all,all,all,0.8291786482832169
all,all,all,all,0.7197961731657037
