"","x","y","r","case","participant_id","environment"
"1","pm1","pm25",0.956645534918059,"off","class2","indoor"
"2","pm1","pm10",0.715253694870154,"off","class2","indoor"
"3","pm1","concent",0.0368701799646524,"off","class2","indoor"
"4","pm1","pm1num",0.944983380157186,"off","class2","indoor"
"5","pm25","pm10",0.837873505965347,"off","class2","indoor"
"6","pm25","concent",0.131085332962729,"off","class2","indoor"
"7","pm25","pm1num",0.963636845468274,"off","class2","indoor"
"8","pm10","concent",0.130996177864971,"off","class2","indoor"
"9","pm10","pm1num",0.770082711980822,"off","class2","indoor"
"10","concent","pm1num",0.0916034502125128,"off","class2","indoor"
"11","pm1","pm25",0.963507215403106,"off","class4","indoor"
"12","pm1","pm10",0.73700833917534,"off","class4","indoor"
"13","pm1","concent",0.133503321718093,"off","class4","indoor"
"14","pm1","pm1num",0.973684665919926,"off","class4","indoor"
"15","pm25","pm10",0.838824247361562,"off","class4","indoor"
"16","pm25","concent",0.269229204505532,"off","class4","indoor"
"17","pm25","pm1num",0.974093029270313,"off","class4","indoor"
"18","pm10","concent",0.286115365721402,"off","class4","indoor"
"19","pm10","pm1num",0.750344206733552,"off","class4","indoor"
"20","concent","pm1num",0.216700700021561,"off","class4","indoor"
"21","pm1","pm25",0.960217777994007,"off","all","indoor"
"22","pm1","pm10",0.726526418540138,"off","all","indoor"
"23","pm1","concent",0.0781091412058213,"off","all","indoor"
"24","pm1","pm1num",0.918677327734293,"off","all","indoor"
"25","pm25","pm10",0.837874800129224,"off","all","indoor"
"26","pm25","concent",0.188466408327092,"off","all","indoor"
"27","pm25","pm1num",0.928867735996341,"off","all","indoor"
"28","pm10","concent",0.194907673551978,"off","all","indoor"
"29","pm10","pm1num",0.734870819010152,"off","all","indoor"
"30","concent","pm1num",0.198284343436719,"off","all","indoor"
"31","pm1","pm25",0.929563652600061,"on","class2","indoor"
"32","pm1","pm10",0.220988919209288,"on","class2","indoor"
"33","pm1","concent",0.150485926351529,"on","class2","indoor"
"34","pm1","pm1num",0.740493938991933,"on","class2","indoor"
"35","pm25","pm10",0.480413621125519,"on","class2","indoor"
"36","pm25","concent",0.246815282461239,"on","class2","indoor"
"37","pm25","pm1num",0.747850578619628,"on","class2","indoor"
"38","pm10","concent",0.303677893798301,"on","class2","indoor"
"39","pm10","pm1num",0.207699535618765,"on","class2","indoor"
"40","concent","pm1num",0.215480790214331,"on","class2","indoor"
"41","pm1","pm25",0.935278650304885,"on","class4","indoor"
"42","pm1","pm10",0.077926411770008,"on","class4","indoor"
"43","pm1","concent",0.317919489025815,"on","class4","indoor"
"44","pm1","pm1num",0.960009037786536,"on","class4","indoor"
"45","pm25","pm10",0.369246998898986,"on","class4","indoor"
"46","pm25","concent",0.254003142028499,"on","class4","indoor"
"47","pm25","pm1num",0.921285491154944,"on","class4","indoor"
"48","pm10","concent",-0.0695800839151164,"on","class4","indoor"
"49","pm10","pm1num",0.110257833804315,"on","class4","indoor"
"50","concent","pm1num",0.305759441159623,"on","class4","indoor"
"51","pm1","pm25",0.931812653564284,"on","all","indoor"
"52","pm1","pm10",0.119549759278937,"on","all","indoor"
"53","pm1","concent",0.269272654434799,"on","all","indoor"
"54","pm1","pm1num",0.766671618467921,"on","all","indoor"
"55","pm25","pm10",0.404296431720047,"on","all","indoor"
"56","pm25","concent",0.252246231751731,"on","all","indoor"
"57","pm25","pm1num",0.764783772771287,"on","all","indoor"
"58","pm10","concent",0.0584039076418552,"on","all","indoor"
"59","pm10","pm1num",0.163799218924246,"on","all","indoor"
"60","concent","pm1num",0.244274922443426,"on","all","indoor"
