"","participant_id","environment","particle","case","mean","median","q5","q25","q75","q95"
"1","41181","indoor","pm1","hepa",0.756580622630214,0.349,0.062,0.202,0.546,2.49395
"2","41181","indoor","pm1","sham",2.72085724043716,2.0215,0.473,0.98875,3.4515,7.088
"3","41181","indoor","pm1","redu",72.1932995459676,82.7355923818946,86.892177589852,79.5701643489254,84.180790960452,64.8144751693002
"4","41181","indoor","pm10","hepa",4.9749116942726,0.764,0.187,0.416,2.69475,23.7886
"5","41181","indoor","pm10","sham",6.95571574941452,3.6025,0.836,1.935,6.66325,19.81395
"6","41181","indoor","pm10","redu",28.4773577084235,78.7925052047189,77.6315789473684,78.5012919896641,59.5580234870371,-20.0598568180499
"7","41181","indoor","pm1num","hepa",2.82243663939333,1.289,0.55605,0.965,1.831,8.04239999999999
"8","41181","indoor","pm1num","sham",3.87401029826095,3.414,0.87,1.744,5.021,9.7628
"9","41181","indoor","pm1num","redu",27.1443175909902,62.2437024018746,36.0862068965517,44.6674311926605,63.5331607249552,17.6219936903349
"10","41181","indoor","pm25","hepa",1.28687238076232,0.504,0.154,0.325,0.825,5.36485
"11","41181","indoor","pm25","sham",3.34213700234192,2.485,0.69,1.184,4.16225,10.63045
"12","41181","indoor","pm25","redu",61.4955227789711,79.7183098591549,77.6811594202899,72.5506756756757,80.1789897291129,49.5331806273488
"13","41181","outdoor","pm1","hepa",1.47261712390715,1.369,0.398,0.816,1.957,2.9455
"14","41181","outdoor","pm1","sham",3.50272531627163,2.38,0.5098,0.885,4.485,10.9226
"15","41181","outdoor","pm1","redu",57.9579615602108,42.4789915966387,21.9301686936053,7.79661016949153,56.3656633221851,73.0329774962005
"16","41181","outdoor","pm10","hepa",19.3142156567179,10.825,1.908,4.4715,23.2615,73.0835
"17","41181","outdoor","pm10","sham",10.971670641268,7.415,1.5268,4.159,12.784,29.6682
"18","41181","outdoor","pm10","redu",-76.0371440979181,-45.987862440998,-24.9672517684045,-7.51382543880743,-81.9579161451815,-146.336144423996
"19","41181","outdoor","pm1num","hepa",8.89876364184504,8.571,2.983,6.866,10.332,15.3455
"20","41181","outdoor","pm1num","sham",16.2737172523962,13.752,6.529,9.138,21.11325,31.36075
"21","41181","outdoor","pm1num","redu",45.3181869647221,37.674520069808,54.3115331597488,24.8632085795579,51.0639053674825,51.0678156612964
"22","41181","outdoor","pm25","hepa",2.84299246306904,2.37,0.862,1.59,3.379,6.925
"23","41181","outdoor","pm25","sham",4.14713930492947,2.943,0.815,1.275,5.315,11.8946
"24","41181","outdoor","pm25","redu",31.4469022130573,19.4699286442406,-5.76687116564418,-24.7058823529412,36.4252116650988,41.7803036672103
"25","41181","ratio","pm1","hepa",0.704035907680982,0.235747303543914,0.0812053115423902,0.163363943934268,0.372093023255814,2.08692185007974
"26","41181","ratio","pm1","sham",2.38045601904238,1.23312116203363,0.080762736040124,0.821353316565435,1.75523715608933,8.8106831565075
"27","41181","ratio","pm1","redu",70.4243261774605,80.8820648933536,-0.547994686616764,80.1103933423695,78.8009829916752,76.3137339862419
"28","41181","ratio","pm10","hepa",0.916253927943825,0.0960867880666408,0.00572543559113977,0.0315573327569437,0.305332633315833,3.23395077391525
"29","41181","ratio","pm10","sham",1.80612665414787,0.683092849071162,0.11055274780005,0.381800545687588,1.24018932591171,5.23571907988431
"30","41181","ratio","pm10","redu",49.2696746465927,85.9335684457398,94.8210825103189,91.7346025003417,75.3801595501259,38.2329203577762
"31","41181","ratio","pm1num","hepa",0.45143496751454,0.144767513188566,0.0770526315789474,0.113560352690787,0.21094264996704,1.23548272176701
"32","41181","ratio","pm1num","sham",0.358933148070872,0.266315397129628,0.0637309199456595,0.164937453925568,0.492127183741336,0.921935035914785
"33","41181","ratio","pm1num","redu",-25.771322582166,45.6405770192472,-20.9030587423604,31.1494448422646,57.1365580004391,-34.0097375235458
"34","41181","ratio","pm25","hepa",0.749178585410166,0.204734219269103,0.0420532472771279,0.134664131812421,0.345809601301871,3.1763085399449
"35","41181","ratio","pm25","sham",1.89096417409483,1.10701706341535,0.149184287070831,0.76265940474359,1.5258953374926,6.07314782111064
"36","41181","ratio","pm25","redu",60.3811327748299,81.5057756528647,71.8112087386513,82.3428215826309,77.3372660099928,47.6991399928739
