"","hepa","k_val_mean","k_val_median","peak_hgt_mean","peak_hgt_median","peak_wdh_mean","peak_wdh_median","total_plume_area","n","total_exposure"
"1",FALSE,-0.0670386041668244,-0.064667296927302,5.81267857142857,4.794,69.7857142857143,5.5,13137.772,28,27883.345
"2",TRUE,-0.211229529116632,-0.0743653461135486,11.5517619047619,10.362,31.5238095238095,25,4051.527,21,7582.451
"3",FALSE,-0.0577382026899443,-0.0614316970780284,7.26847727272727,5.831,36.9545454545455,6,14988.298,44,34250.22
"4",TRUE,-0.169425352299718,-0.0723961242274609,13.8886296296296,8.616,35.7407407407407,21,7768.101,27,12897.035
"5",FALSE,-0.751658534483576,-0.652904535535315,25.2324090909091,15.4035,10.8106060606061,4,35048.916,132,71282.175
"6",TRUE,-1.77985502135609,-1.62485019723498,26.8977302631579,19.084,8.9078947368421,4,32409.81,152,49858.565
"7",FALSE,-0.0786483043225236,-0.0807942438397715,13.4446060606061,5.13,68.6212121212121,5.5,74873.684,66,107176.214
"8",TRUE,-0.210959840392798,-0.194497742684708,6.07815151515152,2.1355,28.2954545454545,5,29316.532,132,43080.332
"9",FALSE,-0.0785796120418776,-0.0799727944511194,15.7287727272727,5.894,53.2,5,113156.862,110,158949.516
"10",TRUE,-0.122835272223158,-0.0913777570963999,19.6097303370787,2.959,48.4831460674157,7,67334.112,89,85294.012
"11",FALSE,-0.796522749074836,-0.619787915271807,38.0717095890411,20.117,17.1013698630137,5,311461.696,365,400682.781
"12",TRUE,-1.38918022512944,-1.26470540050245,42.0372808022923,18.8,11.7163323782235,4,234189.469,349,289501.322
"13",FALSE,-0.0658549658200784,-0.0500750615607535,6.4226875,5.468,43.625,10,4976.376,16,24258.887
"14",TRUE,-0.392227839865045,-0.147778520370376,3.04946428571429,2.0515,14.0178571428571,5,1868.101,56,8452.272
"15",FALSE,-0.0625995856228108,-0.0479334637467908,7.14615789473684,5.958,35.3684210526316,5,5667.734,19,27539.09
"16",TRUE,-0.25333125250218,-0.111640672782959,4.43024137931034,2.646,12.0689655172414,4,1161.187,29,10106.089
"17",FALSE,-1.04266341995291,-0.917419710223336,22.8074878048781,19.856,6.59349593495935,4,11438.313,123,47616.677
"18",TRUE,-1.38381982266251,-1.26525617341392,20.5924036144578,14.225,4.96987951807229,4,9032.196,166,34728.804
"19",FALSE,-0.0932551260167232,-0.0984813795937178,20.5400666666667,5.537,44.8,8,19876.19,15,29045.15
"20",TRUE,-0.308307715554964,-0.113192288799541,11.4124411764706,2.3645,51.1470588235294,6,17927.278,34,22194.989
"21",FALSE,-0.0990824457214081,-0.0824001867440284,25.0258947368421,7.181,55.0526315789474,13,27164.372,19,42310.408
"22",TRUE,-0.222972251815349,-0.0926579661842741,16.4359090909091,2.99,59.3333333333333,7,25459.063,33,31621.857
"23",FALSE,-1.43311373979859,-1.11530267822766,27.3242835820896,21.017,8.07462686567164,4,60735.366,268,110815.73
"24",TRUE,-1.37669842166608,-1.1934496414301,29.073011299435,17.281,11.7853107344633,5,55107.937,177,81875.519
"25",FALSE,-0.0689976178182772,-0.067904121736297,5.47762745098039,4.804,79.9607843137255,5,24988.953,51,37636.384
"26",TRUE,-0.147878632411519,-0.157638237260472,31.883875,2.297,98.625,6,17532.708,8,20237.653
"27",FALSE,-0.02379414428233,-0.00919054264112638,7.66462068965517,6.182,116.103448275862,26,23174.454,29,41112.466
"28",TRUE,-0.106150315634136,-0.0773480517389134,31.9014545454545,2.711,72.2727272727273,6,22333.352,11,26207.575
"29",FALSE,-0.70654967767103,-0.578436012081273,19.343875,14.1585,7.50961538461539,4,17081.621,104,62099.298
"30",TRUE,-1.4805733513319,-1.27738547089633,20.489537815126,12.405,9.25210084033614,4,38724.618,119,53081.865
"31",FALSE,-0.0560076540655854,-0.0259442703070928,32.2097555555556,5.635,145.444444444444,12,244097.436,45,251498.488
"32",TRUE,-0.313993662975113,-0.17466385480511,2.62125683060109,2.233,18.2349726775956,5,8059.819,183,16898.306
"33",FALSE,-0.0610189862016842,-0.051399858054398,32.7778333333333,6.494,131.520833333333,15.5,257889.996,48,267725.372
"34",TRUE,-0.252004454555144,-0.139841768657067,3.38047928994083,3.07,18.3550295857988,5,10019.286,169,22266.295
"35",FALSE,-0.418325420158579,-0.286697664018848,28.4860373831776,14.348,40.607476635514,5,252939.493,107,283536.249
"36",TRUE,-0.851747933827413,-0.743000639613843,27.2465719557196,19.226,10.3173431734317,5,57269.089,271,106351.049
"37",FALSE,-0.211789448703307,-0.211789448703307,10.292,10.292,18,18,80.016,1,3163.923
"38",TRUE,-0.183583780957663,-0.176956373218404,3.21975,1.993,15.75,4,192.702,4,2460.011
"39",FALSE,-0.488109758338659,-0.437337393924607,16.158,8.378,16.6666666666667,5,452.688,3,5647.581
"40",TRUE,-0.195755099264955,-0.208102219364144,4.09,2.656,15,7,257.697,5,3869.587
"41",FALSE,-1.04296822620428,-0.757906355120093,31.6313717948718,20.3685,5.97435897435897,4,19972.8,156,53738.737
"42",TRUE,-1.44644125252552,-1.05238521596316,22.0874808743169,14.892,6.37158469945355,4,18900.79,183,45615.925
"43",FALSE,-0.0817712751960344,-0.0611756613995699,18.1245,5.5765,38.3333333333333,10.5,43627.786,48,56436.625
"44",TRUE,-0.30396581186853,-0.177428168280291,33.9697179487179,2.516,52.5897435897436,5,69533.998,39,73535.828
"45",FALSE,-0.0691757191387383,-0.0578242579640998,19.2165,6.8125,42.52,14.5,48268.123,50,63161.275
"46",TRUE,-0.182043784142458,-0.0603845406806727,48.5795862068966,3.887,66.1034482758621,21,72996.499,29,78039.688
"47",FALSE,-0.513561613356248,-0.482982460156246,31.8167682119205,20.761,20.9139072847682,5,112027.162,151,139737.125
"48",TRUE,-1.32736440586642,-0.976293889266183,33.985126984127,15.6405,13.6984126984127,4,100542.628,126,114943.243
"49",FALSE,-0.189609048206756,-0.178050284992855,7.06227710843373,5.822,21.3493975903614,6,13023.969,83,28453.29
"50",TRUE,-0.16419991079279,-0.172462209515169,3.41248275862069,2.051,27.3448275862069,5,2816.024,29,7043.543
"51",FALSE,-0.162587517752955,-0.161048942154766,8.19176315789474,6.968,21.1184210526316,6,13371.305,76,32009.226
"52",TRUE,-0.147004688669117,-0.151019758825533,4.30816129032258,2.732,29.3225806451613,4,3910.901,31,9842.862
"53",FALSE,-0.734280894591654,-0.586609489444251,20.6110473684211,16.1905,5.73157894736842,4,16404.594,190,64208.275
"54",TRUE,-1.00585253261766,-0.682657271536556,24.6382602040816,19.1935,14.5612244897959,5,66743.805,196,96280.408
"55",FALSE,-0.0849541130312992,-0.0887323518925683,5.24630769230769,4.98,31.7307692307692,5,4838.225,26,18664.116
"56",TRUE,-0.154975238191417,-0.124673938140023,9.32854,2.1725,17.94,5.5,13499.114,50,20082.816
"57",FALSE,-0.0739872428502206,-0.0734910511451301,6.45414285714286,6.055,32.6666666666667,7,4619.313,21,21188.247
"58",TRUE,-0.110210000925259,-0.108495335931951,19.5644642857143,3.3095,23.9285714285714,13.5,15251.394,28,23245.603
"59",FALSE,-0.830439622823746,-0.699754089247196,16.7481641791045,14.6545,6.03731343283582,4,10157.506,134,43722.19
"60",TRUE,-1.15857153337225,-1.07800664184619,22.7697768595041,12.876,6.77685950413223,4,26894.318,121,45925.601
"61",FALSE,-0.0923138505598299,-0.0595636056591231,7.109,5.895,45.52,27,7588.649,25,20401.657
"62",TRUE,-0.191301682261648,-0.181756603151115,2.22806666666667,1.948,9,4,357.441,15,4598.277
"63",FALSE,-0.0857032475051584,-0.0593303419892502,7.74330769230769,6.439,36.1153846153846,10,6860.342,26,23043.855
"64",TRUE,-0.180706035395028,-0.213065008244242,3.7414,2.774,17.4,6,379.122,5,5726.066
"65",FALSE,-0.757627897055946,-0.631822784054947,16.1407831325301,13.116,4.3855421686747,4,3444.775,83,33589.471
"66",TRUE,-1.56467900920719,-1.19407745494793,14.8772471910112,10.667,5.06741573033708,4,4700.069,89,17213.226
"67",FALSE,-0.150603671275213,-0.0958214834616335,10.5375,5.7945,14.75,13,402.248,4,9106.76
"68",TRUE,-0.116458589627862,-0.0853472529804656,9.9927,2.3995,56.7333333333333,10,7307.02,30,12162.153
"69",FALSE,-0.130628110395893,-0.0730929392051473,14.423,7.045,19.6,7,871.531,5,12352.11
"70",TRUE,-0.0957675904702995,-0.0865582666557487,9.04439024390244,3.053,42.1219512195122,10,8610.641,41,15646.856
"71",FALSE,-1.01690546586269,-0.951345236815533,16.6284921875,13.518,5.1875,4,7079.869,128,33451.914
"72",TRUE,-1.41059989774028,-1.35817775809502,17.6492839506173,15.1985,5.12962962962963,4,9160.753,162,32781.284
