"","indoor_pm1","indoor_pm25","indoor_pm10","indoor_pm1_num","outdoor_pm1","outdoor_pm25","outdoor_pm10","outdoor_pm1_num","ratio_pm1","ratio_pm25","ratio_pm10","ratio_pm1_num"
"indoor_pm1",1,0.8861824588197,0.334019319664493,0.888704937236879,0.0100479475631171,-0.0901323106734673,-0.064515470631148,-0.0590425375919438,0.860905803433246,0.7800486651683,0.158229073904589,0.803880738917084
"indoor_pm25",0.8861824588197,1,0.647928637112794,0.868763817911577,-0.0441289883885381,-0.118571042461707,-0.0729747392923686,-0.103438871588488,0.824692908034932,0.930352206161578,0.451821828922727,0.798543595637981
"indoor_pm10",0.334019319664493,0.647928637112794,1,0.360552301842643,-0.0692457639714311,-0.112839273902038,-0.064560118064634,-0.11557778170732,0.30900200285969,0.614445880057428,0.739471198299885,0.334444973711124
"indoor_pm1_num",0.888704937236879,0.868763817911577,0.360552301842643,1,-0.0614480115164705,-0.0996181262281441,-0.0464790194336777,-0.100747945799598,0.901715108513915,0.83949622305827,0.185405398080521,0.951077742476863
"outdoor_pm1",0.0100479475631171,-0.0441289883885381,-0.0692457639714311,-0.0614480115164705,1,0.207099073378914,-0.135442762736301,0.675979476898704,-0.119315217185389,-0.132699425253401,-0.0689961795279369,-0.118729101531617
"outdoor_pm25",-0.0901323106734673,-0.118571042461707,-0.112839273902038,-0.0996181262281441,0.207099073378914,1,0.80357732530916,0.379732877483766,-0.108169909354197,-0.18653630230504,-0.116522883697968,-0.132849834671085
"outdoor_pm10",-0.064515470631148,-0.0729747392923686,-0.064560118064634,-0.0464790194336777,-0.135442762736301,0.80357732530916,1,0.134543447709557,-0.0306913304640037,-0.101641103977713,-0.103309154108388,-0.0569414362118628
"outdoor_pm1_num",-0.0590425375919438,-0.103438871588488,-0.11557778170732,-0.100747945799598,0.675979476898704,0.379732877483766,0.134543447709557,1,-0.121082732746922,-0.163595936176012,-0.0843478413285802,-0.176327961730922
"ratio_pm1",0.860905803433246,0.824692908034932,0.30900200285969,0.901715108513915,-0.119315217185389,-0.108169909354197,-0.0306913304640037,-0.121082732746922,1,0.857820762740737,0.152479262349332,0.877811140419799
"ratio_pm25",0.7800486651683,0.930352206161578,0.614445880057428,0.83949622305827,-0.132699425253401,-0.18653630230504,-0.101641103977713,-0.163595936176012,0.857820762740737,1,0.512299542123137,0.823436466360792
"ratio_pm10",0.158229073904589,0.451821828922727,0.739471198299885,0.185405398080521,-0.0689961795279369,-0.116522883697968,-0.103309154108388,-0.0843478413285802,0.152479262349332,0.512299542123137,1,0.170892927150019
"ratio_pm1_num",0.803880738917084,0.798543595637981,0.334444973711124,0.951077742476863,-0.118729101531617,-0.132849834671085,-0.0569414362118628,-0.176327961730922,0.877811140419799,0.823436466360792,0.170892927150019,1
