"","participant_id","hepa","k_val_mean","k_val_median","peak_hgt_mean","peak_hgt_median","pv_peak_wdh_mean","pv_peak_wdh_median","total_peak_wdh_mean","total_peak_wdh_median","total_plume_area"
"1","105",FALSE,-0.0523164696093906,-0.0304492249282751,24.8092857142857,16.481,16.4285714285714,11,21.5714285714286,16,2300.982
"2","105",TRUE,-0.0992359799494842,-0.0972469507703656,26.0020833333333,17.1885,17.0833333333333,11.5,22.1666666666667,18,3175.43
"3","206",FALSE,-0.0424619260155282,-0.0242997473116415,29.2312,21.845,36.9428571428571,18,90.7428571428571,30,25449.514
"4","206",TRUE,-0.046207932008666,-0.0163027946623565,22.3966046511628,15.644,40.6744186046512,18,81.7674418604651,22,25053.277
"5","207",FALSE,-0.0114982411267055,-0.00564706021084654,19.3850476190476,17.594,91.9047619047619,49,304.952380952381,141,36482.394
"6","207",TRUE,-0.0273390903831937,-0.0182246007580173,49.0605909090909,21.7125,55.7727272727273,43.5,87.7272727272727,76,32059.939
"7","210",FALSE,-0.04864602762593,-0.0299895062849763,137.204,93.3755,70.1595744680851,61,111.202127659574,89,370559.945
"8","210",TRUE,-0.08653221272466,-0.0331447816622886,79.1991923076923,20.0675,55.9134615384615,39.5,99.9230769230769,66,227529.261
"9","404",FALSE,-0.271338521964161,-0.0199953781623911,105.814533333333,82.704,46.2666666666667,18,67.1333333333333,24,36013.001
"10","404",TRUE,-0.0463613147952166,-0.0348867771049517,117.264851851852,78.003,63.8148148148148,58,112.074074074074,77,84680.838
"11","409",FALSE,-0.0256254305425018,-0.0228922435657537,38.354625,24.372,56.25,53.5,127.875,84,29417.925
"12","409",TRUE,-0.0293979819331547,-0.0205469514026249,32.1060333333333,16.44,42.9,25,86.8333333333333,45,26128.973
"13","502",FALSE,-0.0111027374133679,-0.009004667581959,25.4624736842105,19.185,54.4736842105263,32,85.6315789473684,61,20931.482
"14","502",TRUE,-0.0517928095899737,-0.0486617989943191,21.7565652173913,18.135,21.1739130434783,13,29.7391304347826,18,7728.871
"15","513",FALSE,-0.0100661652414782,-0.00468683628661655,24.9508888888889,16.023,65.2222222222222,49.5,160.333333333333,152,21731.878
"16","513",TRUE,-0.016770833137168,-0.0154848415310078,17.62225,11.5675,43,42,62.75,52,2345.492
"17","611",FALSE,-0.0244498546284274,-0.0195265151707175,26.3508947368421,20.372,43.0263157894737,25.5,82.5526315789474,48.5,33822.431
"18","611",TRUE,-0.0280657621942111,-0.0223434449074844,24.2112,15.0665,40.12,17.5,76.06,37.5,32960.347
"19","612",FALSE,-0.0139250044482156,-0.00977409307483261,19.5294444444444,16.2785,50.0555555555556,23,112.222222222222,44,14965.181
"20","612",TRUE,-0.0272433048075843,-0.0223772480516066,17.5574166666667,10.421,27.5833333333333,12,41.3333333333333,17,4777.965
"21","613",FALSE,-0.0274196061123874,-0.0241479138019469,39.0716,45.836,36.4,23,118.4,55,4770.131
"22","613",TRUE,-0.0290742639535947,-0.0254746772059834,50.15275,39.618,55.0833333333333,46,103.666666666667,72.5,16781.161
